＿人人 人人＿<br> ＞  돌연사  ＜<br>￣Y^Y^Y^Y￣
-°○°-
",별의아이 겨울신화 아앙아ㅏㅇ아ㅏㄱ각아앙아각"
!
!!!
!고따봉고뒤집고따봉고뒤집
??
??: 9년 기념으로 힐링물 가자!!!.. ㅔ ?
??:10주년까지 얼마나 남음?<br>???:지금은 9주년인데? 1년 남음<br>??:그렇9나
???: 준비물 있어요?<br>아뇨 없어요 <br>???: 아 있었는데? <br>아뇨 없어요 그냥
???:77명을 못 구했다고? 아싸네 ㅋ
???:뒤에서1등인 펭귄팀
???:모든 것을 그곳에 두고왔다.
???:선생님 저는 친구가 없는데요?ㅠㅅㅠ
???:우렙우렙우렙  네 여러분  오늘 핼 볼 모드는...<br>가  몇년전이지?
?????? 벌써 9주년이라고? 8주년이 엊그제 같은데  진짜 오래됐나봐요!!! 지금도 응원합니다 잠뜰님!!!
?초2부터 봤는데 지금 중2네ㅋㅋㅋ
.
... 이 순서대로 다시 몰아봐야겠네요.. 솔직히 뜰님이 많이하셔갔고 몇개는 잊어버리셨을거라 생각했는데.... 추억이네요..!!
... 친구 없다구용!!! ㅠㅠ
...? 7주년이 어제 같은데 벌써 9주년이라뇨. ㅜㅡㅜ! 9주년 정말 축하드립니다. 10주년... 그냥 쩔어요. ㅋㅋㅋㅋ!
....
.....:)
......선생님 준비물을 구할수가 없어ㅇ.....?
......ㅋㅋ ㅋㅋㅋ ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ
.....<br>난 항상 잠뜰님 방송 실시간 가지도 못했자나ㅠㅠ.....
"….하ㅜㅜㅜㅜ 진짜 여기서 나온거 다 봤고 그러기에 더 슬프다,, 왜 슬픈지 모르겠는데 걍 브금이랑 연출이랑 다 슬퍼.,ㅜㅜㅜㅜㅜ"
...아니 왜 마지막 점점 사라지냐곢ㄲㄱ....맞긴한데....
...이제 진짜 복귀군요 뜰언니ㅜㅜ<br>마음이 놓이네요...ㅜㅜ<br>아아ㅜㅜ 이게 이렇게 행복할 줄이야ㅜㅜ<br>원래도 언니랑 있어서 좋았지만..
...잠뜰님을 채널나올때부터 지금까지 봐왔습니다..이제9주년이라니 잠뜰님은100주년까지 가야죠!🎉🎉🎉
..여기서 메리골드 단간론파 구상중이라고 하면..?
‥ㅎ 저는 평생 못 하겠군요‥
‘펭궨’
“꿈뜰이들은 이 날을 기억할 것입니다.”
"(<a href=""https://www.youtube.com/watch?v=TxW0j70Ings&amp;t=102"">1:42</a>)덕개는 왜 가침?"
(이미 누가 이 댓글 달았을 것 같지만)<br><br>7주년이라 77명과 하는 잠뜰님 센스~
"@<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=42"">0:42</a> 이거 진짜 뭐지??<br><br>무인도 관련된거 같기도 한데 이거 하나를 모르겠네"
"@<a href=""https://www.youtube.com/watch?v=TxW0j70Ings&amp;t=1712"">28:32</a>"
&#39;7&#39;00여개의 댓글 77명 7주년 7일휴식<br><br>7~~~~<br>행운의 7주년☆
&#39;네 여러분&#39; 듣고 뜰님 아닌줄.. 목상태가...?
&quot; 일주일만에 웃음 &quot;
&quot;0.055 경쟁뚫고 당첨돼서 오타 한자리로 참가 못한썰푼다&quot;
&quot;300만 갈끄니까&quot;
&quot;그렇게 우승자는 없었다&quot;
&quot;선생님 준비물을 준비 못해서 지켜보기만 하겠습니다&quot;
&quot;합니다&quot;아니고 &quot;했습니다&quot;?
&quot;She is back&quot;
^_^_^_^_^_^_^_^ 그만큼행복하단 ....
^-^
^^<br>○(°○°)
^^7
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=106"">1:46</a> 이꾸요잇"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1062"">17:42</a>"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=14"">0:14</a> <br>???:카운팅 스타 밤 하늘의 펄"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1443"">24:03</a> 이신님 젊은 꼰대가 되셨어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1467"">24:27</a> 안돼 돌아가"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1488"">24:48</a> 룰루랄라로 근본이신 사람"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1506"">25:06</a> 후에에엥... ㅠㅠ 왜여...?  ㅠㅠㅠㅠ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1517"">25:17</a>"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1521"">25:21</a> 친구가 아니라 웬수가 아닐까ㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1540"">25:40</a> 진짜 미쳤나봐 ㅋㅋㅋㅋㅋ<br>라인을 잘 탔어~"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1541"">25:41</a>"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1542"">25:42</a> 아니 이게 안짤렸다고? 미쳤다 200만 클라스 오진다 ㅋㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1542"">25:42</a> ㅋㅋㅋㅋㅋㅋㅋ 여기부터 개웃김 지금봐도 ㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1554"">25:54</a> 그 시절 함께였던 이신님 우재님 반응도 너무 웃겨 ㅋㅋㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1647"">27:27</a><br><br><a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1739"">28:59</a><br><br><a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1833"">30:33</a><br><br><a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1948"">32:28</a>"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1722"">28:42</a><br>얘가 살아있을랑가 모르겠다고 잠뜰님이 말 하실 때 자연스럽게 올라오는 각?"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1833"">30:33</a>"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=19"">0:19</a> 더 오르셨네요 축하드립니다!나중에는 300만 까지 가셨으면 좋겠습니다 ㅠㅠ<br>그리고 2015년부터 잠뜰님을 봤는데 벌써 시간이 많이 지났네요! 잠뜰님 화이팅"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1927"">32:07</a> 이신이 관종으로 변하는 순간<br>역시 변신할 땐 아무도 건들이면 안되는거지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=194"">3:14</a> 그래 여기서부터 봤는데"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1949"">32:29</a> 실시간으로 바뀌는 이신님 닉네임 ㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1959"">32:39</a> 서운은 개뿔.. 뜰님 200만 찍으실 때 랭겜중인 우리 막내.. 덕개님 진짜ㅋㅋㅋㅋㅋㅋㅋㅋ 전드전드 레전드~"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1965"">32:45</a> 이신님 닉네임 뭐임? ㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1976"">32:56</a>"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1976"">32:56</a> 어디서 좀비 같은애 주워가꼬 사람 비슷하게 씻겨가꼬 갔다놨더니만  아 배아퍼 큐ㅠㅠㅠㅍㅋㅋㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1976"">32:56</a> 이 와중에 젊은 꼰대 이신님 채팅.. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=2008"">33:28</a>"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=2027"">33:47</a> 이게 왜 찐이 되었죠?ㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=2027"">33:47</a> 진짜 가셨네요 ㅋㅋ<br>28만원"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=2029"">33:49</a> 그 말이 현실이 되었네요.. 인당 28만원씩이나 하는 곳에서 회식을 하시다니.."
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=205"">3:25</a> 와 이 감격스러운 순간..ㅠㅠ 직접 실시간으로 못 봐서 너무 아쉬웠어요.. ㅎㅎ<br>잠뜰님 200만 축하드려요!🥳 항상 좋은 영상들 올려주셔서 감사합니다~ 앞으로도 열심히 응원할게요!!"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=251"">4:11</a> 뜰님 이름표에 티티 라고 적혀있어서 ㅋㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=277"">4:37</a>잠뜰님이름표가 티티?"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=29"">0:29</a> 에?"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=30"">0:30</a> 아 200만 구독자 막타쳐야지 ㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=438"">7:18</a><br>넹 저 머리 감다가 허겁지겁 왔었다는..ㅎㅎ"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=523"">8:43</a> 진짜 감동 제가 눈물이 다 나네요..<br>가슴을 울린다..(눈물을 훔치며"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=555"">9:15</a> 필립님이 들고있는 기타 덕개님 쉘터 기타 아닌가요….?"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=578"">9:38</a> ?.?"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=583"">9:43</a> 기부왕으로 바뀌신 또니님 ( feat. 새해 기부"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=685"">11:25</a> ~ <a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=925"">15:25</a><br><a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1076"">17:56</a><br><a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1479"">24:39</a> ~ <a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1645"">27:25</a><br><a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1807"">30:07</a>"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=686"">11:26</a> 기부왕필립"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=709"">11:49</a>"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=882"">14:42</a> ㅋㅋㅋㅋ 모드첼린지 시절"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=972"">16:12</a> <a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=989"">16:29</a> <a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1022"">17:02</a> <a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1031"">17:11</a> <a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=1236"">20:36</a> <a href=""UCg7rkxrTnIhiHEpXY1ec9NA/EmfRYcjmIs2E8wTYsY_4CQ""></a><a href=""UCg7rkxrTnIhiHEpXY1ec9NA/EmfRYYLnIs2E8wTYsY_4CQ""></a><a href=""UCg7rkxrTnIhiHEpXY1ec9NA/EmfRYcjmIs2E8wTYsY_4CQ""></a><a href=""UCg7rkxrTnIhiHEpXY1ec9NA/EmfRYYLnIs2E8wTYsY_4CQ""></a><a href=""UCg7rkxrTnIhiHEpXY1ec9NA/a86kYMW-LsTm8gSVn53gBg""></a><a href=""UCg7rkxrTnIhiHEpXY1ec9NA/v0o6X6L_KMOf-gOrwbGACw""></a>"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=972"">16:12</a> 내가 보려고 남겨놓은 TTS"
"<a href=""https://www.youtube.com/watch?v=g668jJo9KQQ&amp;t=973"">16:13</a> 이신님 실명공개 ㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=10"">0:10</a> 기본<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=15"">0:15</a> 별의아이 <br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=17"">0:17</a> 겨울신화 <br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=21"">0:21</a> 야생의 소년<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=25"">0:25</a> 밤을 보는 눈<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=30"">0:30</a> 럭키 스카이블록 <br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=34"">0:34</a> 수상한 이웃집<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=37"">0:37</a> 혁명 <br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=48"">0:48</a> 초능력 세계 여행<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=56"">0:56</a> 뜨리미널<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=59"">0:59</a> 블라인드<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=73"">1:13</a> 미수반 <br><br><br>다음부터는 잘 모르겠어요."
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=111"">1:51</a>    역시 머니가 최고야 ㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=111"">1:51</a> ?????????ㅋㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=112"">1:52</a> &quot;새해 복 많이 받으세요&quot;"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=112"">1:52</a> 그 와중에 어르신 단무지 스킨인 거 너무 웃기네ㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=112"">1:52</a> 돈 뿌리는거 개귀엽네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=112"">1:52</a> 연출 개쩔어요ㅠㅠ 앞으로도 함께해요! 10주년 축하드려요 🎉"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=112"">1:52</a> ㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=113"">1:53</a> 진지하게 보다가 단무지보고 뿜었네 ㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=115"">1:55</a> 난 여기 부분이 가장 좋아..."
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=115"">1:55</a> 돈각별서프라이즈"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=116"">1:56</a>"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=116"">1:56</a> 도망자들. 뒤에서 총 쏘고 더 빨리 도망가야할 때 뒤에서 뜰님 밀어주는 랃님 나만 벅차올라..!? 도망자들 진짜..ㅠㅠ"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=116"">1:56</a> 뒤 걱정하지말고 나만 믿고 가<br>요론 느낌이여서 계속돌려보는중ㅇ..."
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=118"">1:58</a>  여기서 라더가 잠뜰 밀어줌.."
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=118"">1:58</a> 도망자들 총알이 빗발치니까 라더가 뜰님 뒤에서 받쳐주는거 별 거 아닌거 같은데 치인다..ㅠㅠㅠㅠㅠㅠㅠㅠ"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=118"">1:58</a> 뒤에서 밀어주는 거 대박이에요ㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=119"">1:59</a> 바로 정색하는거ㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=120"">2:00</a> 고개 돌리고 가시네요 ㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=121"">2:01</a> 이 컨텐츠가 제일 최고였어요❤<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=168"">2:48</a> 또 슬퍼지네요😢<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=175"">2:55</a> 카와이!!<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=143"">2:23</a> 미궁 굿즈 못사서 속상합니다😢😢<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=144"">2:24</a> 우민시리즈❤"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=121"">2:01</a> 전설의 뇌절"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=122"">2:02</a> 가는 길에 조졌어야 했는데.."
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=122"">2:02</a> 고개 돌리는 것까지 완벽하네요<a href=""UCg7rkxrTnIhiHEpXY1ec9NA/v0o6X6L_KMOf-gOrwbGACw""></a><a href=""UCg7rkxrTnIhiHEpXY1ec9NA/v0o6X6L_KMOf-gOrwbGACw""></a>"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=122"">2:02</a> 제발 좀 잊고 싶은 그들"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=128"">2:08</a> 데드파더스!앤더러^^"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=129"">2:09</a> 에 덕게가 실종"
"<a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=13"">0:13</a> 별의 아이<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=16"">0:16</a> 겨울신화<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=20"">0:20</a> 야생의 소년<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=23"">0:23</a> 밤을 보는 눈<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=28"">0:28</a> 럭키 스카이블럭<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=31"">0:31</a> 수상한 이웃집<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=35"">0:35</a> 혁명<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=42"">0:42</a> ○○에서 살아남기<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=45"">0:45</a> 초능력 세계여행<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=49"">0:49</a> 쉘터<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=53"">0:53</a> 그리고 아무도 없었다<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=55"">0:55</a> 뜨리미널 인형공방<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=59"">0:59</a> 블라인드<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=62"">1:02</a> 기지전쟁<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=65"">1:05</a> 헤드라이너<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=70"">1:10</a> 미스터리 수사반<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=76"">1:16</a> 저택의 주인<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=80"">1:20</a> 벌칙 시리즈 (덕개개개개개개개)<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=85"">1:25</a> 학교 7대 불가사의<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=90"">1:30</a> 초능력자 듀오<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=94"">1:34</a> 3Days<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=98"">1:38</a> 타임 스테이션<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=103"">1:43</a> 써니 사이드 타운<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=107"">1:47</a> 가면 수집가<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=112"">1:52</a> 현질 야생<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=115"">1:55</a> 도망자들<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=120"">2:00</a> 안젤라 데이비드<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=123"">2:03</a> 금수저 아가씨<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=128"">2:08</a> 데드 파더스<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=133"">2:13</a> 은하수 잡화점<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=140"">2:20</a> 미궁<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=144"">2:24</a> 우민 시리즈<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=148"">2:28</a> 몬스터 주점<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=152"">2:32</a> 이웃집 좀비<br><a href=""https://www.youtube.com/watch?v=Kli6GeNUfUI&amp;t=172"">2:52</a> 와기 고래와 10주년!"
