84
?
? ? ?: 먼훗날에 다시 돌아오겠습니다
? 이거 제목 바꾼거임?<br>원래 버섯 섬 뭐시기 였던 것 같은데
? 재업인가?
??
??: 도둑의 바다보다 조회수가 안나오는 게임...다시는 하지 말아야겠군.
"??? : 뭔가 파피플레이 타임은 처음 화면이 안무서워서 뭔가 더 매력적인거 같아. <br><br>ㅇ아니 개징그럽잔하ㅛ;<a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZJ6oDOiJ_9EP-_60oAQ""></a>"
???: 얘들을 구해야해!
???:아 네 공룡이 어머님^^ 아 다름이 아니라 공룡이가 가전제품을 샀데요 ㅎㅎ 아 네 ^^
??이게 무슨일이람 공룡 영상..? 공룡영상이 또 이렇게 빠르게 업로드된다니.. 공룡님 정말로 4월달은 힘내시는군요 와!!!너무 좋아
¿모음집 인가?
.
..?
"..유크타에서 공룡님을 젤 좋아했는데 공룡님이 젤 먼저 죽어서 슬퍼하고 있다가,공룡님이라면 이걸 제작해서 먼저 죽었을수도 있겠다고 생각했는데 마지막에 공룡님도 제작 참여하신거 보고 비하인드 올리시겠네라고 생각하고 있었는데 다행이네요"
‘몰래’가 곧 ‘알게 된’으로 바뀔 시간이 얼마 남지 않았습니다
” 피카소가 뺨칠 그림실력 “
“어린이용 게임을 공룡이 하면 생기는 일”
“왕관을 쓰려는자 그 무게를 견뎌라”<br>동호님은 이제 그 무게를 견뎌야 합니다
“코마는 이 일을 기억할것입니다”
(전멸은 사실이었다)모든 영상(?)이 멸망한 저직권 전쟁 속에서 살아남기<br><br>저작권 때문에 멸망한 동영상중 다시 올린 땅따먹기
"[다른 크리에이터 시점 + 스포일러]조심 <a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZLGpDOiJ_9EP-_60oAQ""></a>"
《우리나라 사고뭉치 왕자님이 어느날 망국의 왕자가 되어버려 호의적이었던 옆 왕국의 첩자로 들어가 멸망할 만큼 폭파시킨 후에 알고보니 같은 핏줄이었던 동생이 살고있는 자신의 나라를 멸망시킨 북부의 푸른 여왕님 밑에 들어가 호의호식을 하는 꿈을 꾼다는 건에 대하여.<br>~이젠 멸망같은건 질려버렸어~아니 사실 질리지 않았을지도!?》
&#39;&#39;공룡이지만 괜찮아&#39;&#39;
&#39;멈췄던 시간이 다시 흐른다..&#39;
&gt;&gt;&gt;천재 기획자 공룡 실존&lt;&lt;&lt;
&quot; 재벌집 막내공룡 &quot;
&quot;공룡님인줄 알았지만 공룡님이었습니다.&quot;
&quot;그의 해는 다시 뜰것이다&quot;
&quot;내 꿈은 너야...&quot;
&quot;누나 오늘 좀 스타일리쉬 한것 같네?&quot;<br>&quot;닥쳐&quot;<br>ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
&quot;시간이 멈췄다.&quot;
&quot;아니 진짜 내가 못하는게 아니라니까?&quot;
"&quot;파카소,반 고흐,미켈란 젤로,공룡 Let&#39;s go&quot;"
"&quot;But, I&#39;m possible.&quot;"
&quot;He is pashon goja&quot;
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=1"">0:01</a> 우선 밑밥깔고 가는거부터 미쳤다ㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=110"">1:50</a> 각별님 걷는거 왜이렇게 웃기지ㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=110"">1:50</a> 어르신 걷는거 개웃기닼ㅋㅋㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=148"">2:28</a> 아니 ㅋㅋㅋㅋㅋㅋ?? 황당하고 어이없고 웃기고 풀로 다 있넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=153"">2:33</a> 7병에서 8병 ㄷㄷ 😱"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=253"">4:13</a> 진짜 공룡이셨구나"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=262"">04:22</a> 아닠ㅋㅋ 그냥 툭이요..??"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=353"">5:53</a> 재환아아아악!!!!!!!!!!!!!!"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=364"">6:04</a> 알고보니깐 웹소설 멸망 이후의 세계에 나오는 재환 아님? 맞으면은ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=376"">6:16</a><br>ㅋㅋㅋㅋㅋㅋ 공룡님 엄청 비장하게 &quot;애들을 지켜야 돼&quot;ㅋㅋㅋㅋㅋㅋ 진짜 너무 웃겨요ㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=383"">6:23</a> 술취해서 전생의 공룡님이 나왔나요ㅋㅋㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=383"">6:23</a> 아무래도 자기 자신을 지켜야했던 게 아닌지.."
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=383"">6:23</a> 애들을 지켜야 돼☆<br>흑역사 만드셨네요.."
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=383"">6:23</a> 헐!! 비밀 히어로인가봐 ㄷㄷ 정체 다 틀킨거 아니에요?!"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=388"">6:28</a> 뭔 컨텐츠하는 꿈 꾸셨나?"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=410"">6:50</a>초 필름 파괴"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=432"">7:12</a> 공룡님은 주변에서 너 유도해라 너는 무조건 운동을 해야한다 라는 소리를 자주 들었다고.... 했습니다만 물주먹이라고........"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=450"">7:30</a> 이걸 덕개나,잠뜰님이 직관했으면 개웃겼겠다"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=453"">7:33</a> 와.... 라는 말안 나온닼ㅋㅋㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=458"">7:38</a>  아니 ㅋㅋㅋㅋㅋㅋㅋ 뽀뽀가아니고<br>구구님 빨아먹히는거 아니냐고요ㅋㅋㅋㅋㅋㅋㅋㅋ<br>아 진짜 애니메이션이 개웃김"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=459"">7:39</a> 미쳤나ㅋㅌㅋㅌㅋㅌㅋㅌㅋㅌㅌㅋㅋㅋㅌㅋ 뽀뽀를갈기네"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=460"">7:40</a> 구구님... 정말 대단한 포지션이군요 ㅋㅋㅅㅋㄱㅋㄱㅋㄱ(지나친 음주엔 과한 스킨십이 옵니다 ㅋㅋㅋ)"
"<a href=""https://www.youtube.com/watch?v=_-VvS9m6UXo&amp;t=460"">7:40</a> 편집 ㅠㅠㅠㅠㅠ 구구님 넘 불쌍해보이세요ㅠㅠㅠㅠㅠㅋㅋㅋㅋㅋㅋ 생동감이 미쳣네...."
